"Date","Price","Open","High","Low","Vol.","Change %"
"06-08-2024","23,992.55","24,189.85","24,382.60","23,960.40","312.34M","-0.26%"
"05-08-2024","24,055.60","24,302.85","24,350.05","23,893.70","486.99M","-2.68%"
"02-08-2024","24,717.70","24,789.00","24,851.90","24,686.85","345.03M","-1.17%"
"01-08-2024","25,010.90","25,030.95","25,078.30","24,956.40","431.31M","0.24%"
"31-07-2024","24,951.15","24,886.70","24,984.60","24,856.50","333.65M","0.38%"
"30-07-2024","24,857.30","24,839.40","24,971.75","24,798.65","384.99M","0.09%"
"29-07-2024","24,836.10","24,943.30","24,999.75","24,774.60","354.97M","0.01%"
"26-07-2024","24,834.85","24,423.35","24,861.15","24,410.90","383.83M","1.76%"
"25-07-2024","24,406.10","24,230.95","24,426.15","24,210.80","391.82M","-0.03%"
"24-07-2024","24,413.50","24,444.95","24,504.25","24,307.25","366.62M","-0.27%"
"23-07-2024","24,479.05","24,568.90","24,582.55","24,074.20","436.41M","-0.12%"
"22-07-2024","24,509.25","24,445.75","24,595.20","24,362.30","324.19M","-0.09%"
"19-07-2024","24,530.90","24,853.80","24,854.80","24,508.15","343.77M","-1.09%"
"18-07-2024","24,800.85","24,543.80","24,837.75","24,504.45","350.92M","0.76%"
"16-07-2024","24,613.00","24,615.90","24,661.25","24,587.65","283.21M","0.11%"
"15-07-2024","24,586.70","24,587.60","24,635.05","24,522.75","305.40M","0.35%"
"12-07-2024","24,502.15","24,387.95","24,592.20","24,331.15","325.82M","0.77%"
"11-07-2024","24,315.95","24,396.55","24,402.65","24,193.75","306.40M","-0.03%"
"10-07-2024","24,324.45","24,459.85","24,461.05","24,141.80","292.26M","-0.45%"
"09-07-2024","24,433.20","24,351.00","24,443.60","24,331.90","250.54M","0.46%"
"08-07-2024","24,320.55","24,329.45","24,344.60","24,240.55","266.30M","-0.01%"
"05-07-2024","24,323.85","24,213.35","24,363.00","24,168.85","298.38M","0.09%"
"04-07-2024","24,302.15","24,369.95","24,401.00","24,281.00","251.19M","0.06%"
"03-07-2024","24,286.50","24,291.75","24,309.15","24,207.10","289.20M","0.67%"
"02-07-2024","24,123.85","24,228.75","24,236.35","24,056.40","309.63M","-0.07%"
"01-07-2024","24,141.95","23,992.95","24,164.00","23,992.70","242.47M","0.55%"
"28-06-2024","24,010.60","24,085.90","24,174.00","23,985.80","354.78M","-0.14%"
"27-06-2024","24,044.50","23,881.55","24,087.45","23,805.40","515.23M","0.74%"
"26-06-2024","23,868.80","23,723.10","23,889.90","23,670.45","287.82M","0.62%"
"25-06-2024","23,721.30","23,577.10","23,754.15","23,562.05","298.11M","0.78%"
"24-06-2024","23,537.85","23,382.30","23,558.10","23,350.00","239.36M","0.16%"
"21-06-2024","23,501.10","23,661.15","23,667.10","23,398.20","609.88M","-0.28%"
"20-06-2024","23,567.00","23,586.15","23,624.00","23,442.60","280.34M","0.22%"
"19-06-2024","23,516.00","23,629.85","23,664.00","23,412.90","328.81M","-0.18%"
"18-06-2024","23,557.90","23,570.80","23,579.05","23,499.70","272.21M","0.39%"
"14-06-2024","23,465.60","23,464.95","23,490.40","23,334.25","223.09M","0.29%"
"13-06-2024","23,398.90","23,480.95","23,481.05","23,353.90","268.28M","0.33%"
"12-06-2024","23,322.95","23,344.45","23,441.95","23,295.95","295.63M","0.25%"
"11-06-2024","23,264.85","23,283.75","23,389.45","23,206.65","305.19M","0.02%"
"10-06-2024","23,259.20","23,319.15","23,411.90","23,227.15","304.39M","-0.13%"
"07-06-2024","23,290.15","22,821.85","23,320.20","22,789.05","473.55M","2.05%"
"06-06-2024","22,821.40","22,798.60","22,910.15","22,642.60","480.41M","0.89%"
"05-06-2024","22,620.35","22,128.35","22,670.40","21,791.95","638.49M","3.36%"
"04-06-2024","21,884.50","23,179.50","23,179.50","21,281.45","1.01B","-5.93%"
"03-06-2024","23,263.90","23,337.90","23,338.70","23,062.30","569.43M","3.25%"
"31-05-2024","22,530.70","22,568.10","22,653.75","22,465.10","572.12M","0.19%"
"30-05-2024","22,488.65","22,617.45","22,705.75","22,417.00","373.37M","-0.95%"
"29-05-2024","22,704.70","22,762.75","22,825.50","22,685.45","269.93M","-0.80%"
"28-05-2024","22,888.15","22,977.15","22,998.55","22,858.50","217.89M","-0.19%"
"27-05-2024","22,932.45","23,038.95","23,110.80","22,871.20","260.01M","-0.11%"
"24-05-2024","22,957.10","22,930.75","23,026.40","22,908.00","261.93M","-0.05%"
"23-05-2024","22,967.65","22,614.10","22,993.60","22,577.45","369.77M","1.64%"
"22-05-2024","22,597.80","22,576.60","22,629.50","22,483.15","290.35M","0.31%"
"21-05-2024","22,529.05","22,404.55","22,591.10","22,404.55","347.59M","0.12%"
"18-05-2024","22,502.00","22,512.85","22,520.25","22,470.05","19.06M","0.16%"
"17-05-2024","22,466.10","22,415.25","22,502.15","22,345.65","242.65M","0.28%"
"16-05-2024","22,403.85","22,319.20","22,432.25","22,054.55","368.95M","0.92%"
"15-05-2024","22,200.55","22,255.60","22,297.55","22,151.75","231.94M","-0.08%"
"14-05-2024","22,217.85","22,112.90","22,270.05","22,081.25","230.24M","0.51%"
"13-05-2024","22,104.05","22,027.95","22,131.65","21,821.05","278.19M","0.22%"
"10-05-2024","22,055.20","21,990.95","22,131.30","21,950.30","265.80M","0.44%"
"09-05-2024","21,957.50","22,224.80","22,307.75","21,932.40","331.33M","-1.55%"
"08-05-2024","22,302.50","22,231.20","22,368.65","22,185.20","277.44M","0.00%"
"07-05-2024","22,302.50","22,489.75","22,499.05","22,232.05","297.82M","-0.62%"
"06-05-2024","22,442.70","22,561.60","22,588.80","22,409.45","320.26M","-0.15%"
"03-05-2024","22,475.85","22,766.35","22,794.70","22,348.05","438.06M","-0.76%"
"02-05-2024","22,648.20","22,567.85","22,710.50","22,567.85","445.91M","0.19%"
"30-04-2024","22,604.85","22,679.65","22,783.35","22,568.40","361.86M","-0.17%"
"29-04-2024","22,643.40","22,475.55","22,655.80","22,441.90","291.96M","1.00%"
"26-04-2024","22,419.95","22,620.40","22,620.40","22,385.55","329.89M","-0.67%"
"25-04-2024","22,570.35","22,316.90","22,625.95","22,305.25","475.04M","0.75%"
"24-04-2024","22,402.40","22,421.55","22,476.45","22,384.00","235.90M","0.15%"
"23-04-2024","22,368.00","22,447.05","22,447.55","22,349.45","231.52M","0.14%"
"22-04-2024","22,336.40","22,336.90","22,375.65","22,198.15","279.26M","0.86%"
"19-04-2024","22,147.00","21,861.50","22,179.55","21,777.65","362.53M","0.69%"
"18-04-2024","21,995.85","22,212.35","22,326.50","21,961.70","456.91M","-0.69%"
"16-04-2024","22,147.90","22,125.30","22,213.75","22,079.45","317.27M","-0.56%"
"15-04-2024","22,272.50","22,339.05","22,427.45","22,259.55","355.47M","-1.10%"
"12-04-2024","22,519.40","22,677.40","22,726.45","22,503.75","357.19M","-1.03%"
"10-04-2024","22,753.80","22,720.25","22,775.70","22,673.70","276.85M","0.49%"
"09-04-2024","22,642.75","22,765.10","22,768.40","22,612.25","232.36M","-0.10%"
"08-04-2024","22,666.30","22,578.35","22,697.30","22,550.35","227.63M","0.68%"
"05-04-2024","22,513.70","22,486.40","22,537.60","22,427.60","242.24M","0.00%"
"04-04-2024","22,514.65","22,592.10","22,619.00","22,303.80","400.99M","0.36%"
"03-04-2024","22,434.65","22,385.70","22,521.10","22,346.50","309.65M","-0.08%"
"02-04-2024","22,453.30","22,458.80","22,497.60","22,388.15","289.52M","-0.04%"
"01-04-2024","22,462.00","22,455.00","22,529.95","22,427.75","243.64M","0.61%"
"28-03-2024","22,326.90","22,163.60","22,516.00","22,163.60","410.53M","0.92%"
"27-03-2024","22,123.65","22,053.95","22,193.60","22,052.85","409.14M","0.54%"
"26-03-2024","22,004.70","21,947.90","22,073.20","21,947.55","328.40M","-0.42%"
"22-03-2024","22,096.75","21,932.20","22,180.70","21,883.30","388.66M","0.39%"
"21-03-2024","22,011.95","21,989.90","22,080.95","21,941.30","353.17M","0.79%"
"20-03-2024","21,839.10","21,843.90","21,930.90","21,710.20","312.41M","0.10%"
"19-03-2024","21,817.45","21,946.45","21,978.30","21,793.10","344.16M","-1.08%"
"18-03-2024","22,055.70","21,990.10","22,123.70","21,916.55","356.32M","0.15%"
"15-03-2024","22,023.35","22,064.85","22,120.90","21,931.70","661.46M","-0.56%"
"14-03-2024","22,146.65","21,982.55","22,204.60","21,917.50","426.74M","0.68%"
"13-03-2024","21,997.70","22,432.20","22,446.75","21,905.65","493.34M","-1.51%"
"12-03-2024","22,335.70","22,334.45","22,452.55","22,256.00","299.20M","0.01%"
"11-03-2024","22,332.65","22,517.50","22,526.60","22,307.25","277.90M","-0.72%"
"07-03-2024","22,493.55","22,505.30","22,525.65","22,430.00","379.87M","0.09%"
"06-03-2024","22,474.05","22,327.50","22,497.20","22,224.35","312.26M","0.53%"
"05-03-2024","22,356.30","22,371.25","22,416.90","22,269.15","296.15M","-0.22%"
"04-03-2024","22,405.60","22,403.50","22,440.90","22,358.30","298.79M","0.12%"
"02-03-2024","22,378.40","22,406.95","22,419.55","22,367.05","35.76M","0.18%"
"01-03-2024","22,338.75","22,048.30","22,353.30","22,047.75","351.50M","1.62%"
"29-02-2024","21,982.80","21,935.20","22,060.55","21,860.65","360.17M","0.14%"
"28-02-2024","21,951.15","22,214.10","22,229.15","21,915.85","202.95M","-1.11%"
"27-02-2024","22,198.35","22,090.20","22,218.25","22,085.65","252.20M","0.34%"
"26-02-2024","22,122.05","22,169.20","22,202.15","22,075.15","207.78M","-0.41%"
"23-02-2024","22,212.70","22,290.00","22,297.50","22,186.10","225.98M","-0.02%"
"22-02-2024","22,217.45","22,081.55","22,252.50","21,875.25","343.50M","0.74%"
"21-02-2024","22,055.05","22,248.85","22,249.40","21,997.95","364.55M","-0.64%"
"20-02-2024","22,196.95","22,099.20","22,215.60","22,045.85","295.71M","0.34%"
"19-02-2024","22,122.25","22,103.45","22,186.65","22,021.05","","0.37%"
"16-02-2024","22,040.70","22,020.30","22,068.65","21,968.95","343.89M","0.59%"
"15-02-2024","21,910.75","21,906.55","21,953.85","21,794.80","345.39M","0.32%"
"14-02-2024","21,840.05","21,578.15","21,870.85","21,530.20","359.12M","0.45%"
"13-02-2024","21,743.25","21,664.30","21,766.80","21,543.35","365.79M","0.59%"
"12-02-2024","21,616.05","21,800.80","21,831.70","21,574.75","287.44M","-0.76%"
"09-02-2024","21,782.50","21,727.00","21,804.45","21,629.90","349.22M","0.30%"
"08-02-2024","21,717.95","22,009.65","22,011.05","21,665.30","491.07M","-0.97%"
"07-02-2024","21,930.50","22,045.05","22,053.30","21,860.15","346.26M","0.01%"
"06-02-2024","21,929.40","21,825.20","21,951.40","21,737.55","370.97M","0.72%"
"05-02-2024","21,771.70","21,921.05","21,964.30","21,726.95","440.85M","-0.38%"
"02-02-2024","21,853.80","21,812.75","22,126.80","21,805.55","442.79M","0.72%"
"01-02-2024","21,697.45","21,780.65","21,832.95","21,658.75","332.54M","-0.13%"
"31-01-2024","21,725.70","21,487.25","21,741.35","21,448.85","410.58M","0.95%"
"30-01-2024","21,522.10","21,775.75","21,813.05","21,501.80","375.14M","-0.99%"
"29-01-2024","21,737.60","21,433.10","21,763.25","21,429.60","376.70M","1.80%"
"25-01-2024","21,352.60","21,454.60","21,459.00","21,247.05","418.14M","-0.47%"
"24-01-2024","21,453.95","21,185.25","21,482.35","21,137.20","407.46M","1.01%"
"23-01-2024","21,238.80","21,716.70","21,750.25","21,192.60","449.72M","-1.54%"
"20-01-2024","21,571.80","21,706.15","21,720.30","21,541.80","","-0.23%"
"19-01-2024","21,622.40","21,615.20","21,670.60","21,575.00","343.06M","0.75%"
"18-01-2024","21,462.25","21,414.20","21,539.40","21,285.55","387.34M","-0.51%"
"17-01-2024","21,571.95","21,647.25","21,851.50","21,550.45","456.00M","-2.09%"
"16-01-2024","22,032.30","22,080.50","22,124.15","21,969.80","292.43M","-0.29%"
"15-01-2024","22,097.45","22,053.15","22,115.55","21,963.55","345.54M","0.93%"
"12-01-2024","21,894.55","21,773.55","21,928.25","21,715.15","294.68M","1.14%"
"11-01-2024","21,647.20","21,688.00","21,726.50","21,593.75","212.45M","0.13%"
"10-01-2024","21,618.70","21,529.30","21,641.85","21,448.65","216.99M","0.34%"
"09-01-2024","21,544.85","21,653.60","21,724.45","21,517.85","228.57M","0.15%"
"08-01-2024","21,513.00","21,747.60","21,763.95","21,492.90","231.45M","-0.91%"
"05-01-2024","21,710.80","21,705.75","21,749.60","21,629.20","309.30M","0.24%"
"04-01-2024","21,658.60","21,605.80","21,685.65","21,564.55","339.17M","0.66%"
"03-01-2024","21,517.35","21,661.10","21,677.00","21,500.35","311.93M","-0.69%"
"02-01-2024","21,665.80","21,751.35","21,755.60","21,555.65","263.71M","-0.35%"
"01-01-2024","21,741.90","21,727.75","21,834.35","21,680.85","154.00M","0.05%"
"29-12-2023","21,731.40","21,737.65","21,770.30","21,676.90","270.92M","-0.22%"
"28-12-2023","21,778.70","21,715.00","21,801.45","21,678.00","393.08M","0.57%"
"27-12-2023","21,654.75","21,497.65","21,675.75","21,495.80","256.54M","1.00%"
"26-12-2023","21,441.35","21,365.20","21,477.15","21,329.45","219.47M","0.43%"
"22-12-2023","21,349.40","21,295.85","21,390.50","21,232.45","284.71M","0.44%"
"21-12-2023","21,255.05","21,033.95","21,288.35","20,976.80","277.55M","0.50%"
"20-12-2023","21,150.15","21,543.50","21,593.00","21,087.35","363.89M","-1.41%"
"19-12-2023","21,453.10","21,477.65","21,505.05","21,337.75","249.75M","0.16%"
"18-12-2023","21,418.65","21,434.80","21,482.80","21,365.35","249.67M","-0.18%"
"15-12-2023","21,456.65","21,287.45","21,492.30","21,235.30","508.76M","1.29%"
"14-12-2023","21,182.70","21,110.40","21,210.90","21,074.45","334.41M","1.23%"
"13-12-2023","20,926.35","20,929.75","20,950.00","20,769.50","260.27M","0.10%"
"12-12-2023","20,906.40","21,018.55","21,037.90","20,867.15","244.87M","-0.43%"
"11-12-2023","20,997.10","20,965.30","21,026.10","20,923.70","212.92M","0.13%"
"08-12-2023","20,969.40","20,934.10","21,006.10","20,862.70","292.44M","0.33%"
"07-12-2023","20,901.15","20,932.40","20,941.25","20,850.80","274.99M","-0.17%"
"06-12-2023","20,937.70","20,950.75","20,961.95","20,852.15","359.21M","0.40%"
"05-12-2023","20,855.10","20,808.90","20,864.05","20,711.15","421.01M","0.81%"
"04-12-2023","20,686.80","20,601.95","20,702.65","20,507.75","381.11M","2.07%"
"01-12-2023","20,267.90","20,194.10","20,291.55","20,183.70","265.81M","0.67%"
"30-11-2023","20,133.15","20,108.50","20,158.70","20,015.85","486.59M","0.18%"
"29-11-2023","20,096.60","19,976.55","20,104.65","19,956.30","236.24M","1.04%"
"28-11-2023","19,889.70","19,844.65","19,916.85","19,800.00","229.60M","0.48%"
"24-11-2023","19,794.70","19,809.60","19,832.85","19,768.85","145.90M","-0.04%"
"23-11-2023","19,802.00","19,828.45","19,875.15","19,786.75","170.02M","-0.05%"
"22-11-2023","19,811.85","19,784.00","19,825.55","19,703.85","184.50M","0.14%"
"21-11-2023","19,783.40","19,770.90","19,829.10","19,754.05","194.97M","0.45%"
"20-11-2023","19,694.00","19,731.15","19,756.45","19,670.50","173.78M","-0.19%"
